Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Jason Heyward,CHC,48,151,1,15,10,1,7.30%,21.20%,0.073,0.26,0.204,0.278,0.277,0.253,0.278,61,-0.1,-7,-2.1,-0.4
Bligh Madris,PIT,39,123,1,10,7,2,8.10%,25.20%,0.088,0.235,0.177,0.244,0.265,0.231,0.262,45,0.5,-7.4,-1,-0.5
Vidal Brujan,TBR,52,162,3,13,16,5,7.40%,22.80%,0.095,0.193,0.163,0.228,0.259,0.22,0.233,43,-0.8,-11.1,1.6,-0.5
Hanser Alberto,LAD,73,159,2,13,15,0,1.90%,15.70%,0.122,0.279,0.244,0.258,0.365,0.27,0.234,73,-2.1,-7,-2.7,-0.5
Garrett Hampson,COL,90,226,2,29,15,12,9.30%,27.90%,0.095,0.294,0.211,0.287,0.307,0.267,0.261,55,1.6,-10.3,-1.8,-0.5
Mike Moustakas,CIN,78,285,7,30,25,2,8.40%,26.30%,0.131,0.272,0.214,0.295,0.345,0.286,0.27,76,-0.5,-8.5,-5.6,-0.5
Andrew Vaughn,CHW,134,555,17,60,76,0,5.60%,17.30%,0.159,0.301,0.271,0.321,0.429,0.327,0.319,113,-3.2,4.9,-27.4,-0.5
Oscar Mercado,- - -,55,128,4,17,16,2,3.90%,22.70%,0.165,0.236,0.207,0.242,0.372,0.266,0.258,70,0,-4.3,-4.7,-0.5
Ehire Adrianza,- - -,37,110,0,8,7,1,10.00%,22.70%,0.031,0.233,0.175,0.264,0.206,0.222,0.274,38,0.8,-7.2,-1.4,-0.5
Michael Perez,- - -,45,132,6,10,14,1,7.60%,24.20%,0.149,0.145,0.149,0.214,0.298,0.228,0.276,44,-0.5,-9.1,-0.2,-0.5
Stephen Piscotty,OAK,42,139,5,12,14,2,6.50%,34.50%,0.151,0.253,0.19,0.252,0.341,0.258,0.275,70,-0.6,-5.2,-4.1,-0.5
Kevin Plawecki,- - -,64,186,1,15,13,0,7.50%,17.20%,0.065,0.265,0.22,0.286,0.286,0.259,0.268,61,-1.8,-10,-1,-0.5
Sheldon Neuse,OAK,89,293,4,25,26,6,6.80%,27.30%,0.074,0.289,0.214,0.273,0.288,0.253,0.254,67,1.3,-9.6,-4.8,-0.5
Marcell Ozuna,ATL,124,507,23,56,56,2,6.10%,24.10%,0.187,0.252,0.226,0.274,0.413,0.298,0.337,88,-2.6,-9.4,-12.9,-0.5
Taylor Walls,TBR,142,466,8,53,33,10,11.20%,25.80%,0.113,0.221,0.172,0.268,0.285,0.252,0.27,66,3.2,-14.5,-5.5,-0.5
Lorenzo Cain,MIL,43,156,1,17,9,2,5.10%,23.10%,0.055,0.229,0.179,0.231,0.234,0.212,0.23,32,-0.4,-12.8,2.3,-0.6
Austin Hedges,CLE,105,338,7,26,30,2,7.40%,23.10%,0.085,0.193,0.163,0.241,0.248,0.225,0.238,42,-3.6,-25.8,9.6,-0.6
Tyler Wade,LAA,67,163,1,22,8,8,6.10%,20.20%,0.054,0.274,0.218,0.272,0.272,0.247,0.248,55,-0.1,-8.4,-2.3,-0.6
Charlie Culberson,TEX,70,124,2,19,12,2,4.00%,25.00%,0.104,0.329,0.252,0.283,0.357,0.281,0.251,81,-1.1,-3.7,-5.8,-0.6
Sam Hilliard,COL,70,200,2,26,14,5,11.50%,28.50%,0.08,0.256,0.184,0.28,0.264,0.251,0.303,44,1.8,-11.2,-1.1,-0.6
Avisail Garcia,MIA,98,380,8,31,35,4,4.50%,28.70%,0.092,0.298,0.224,0.266,0.317,0.258,0.281,66,-1.2,-16.1,-2.3,-0.6
Alex Kirilloff,MIN,45,156,3,14,21,0,3.20%,23.10%,0.111,0.308,0.25,0.29,0.361,0.286,0.282,86,-2,-4.4,-6.2,-0.6
Tyler Nevin,BAL,58,184,2,17,16,0,10.90%,25.00%,0.064,0.259,0.197,0.299,0.261,0.261,0.293,67,-1.2,-8,-3.5,-0.6
Calvin Mitchell,PIT,69,232,5,21,17,3,7.80%,22.40%,0.123,0.276,0.226,0.286,0.349,0.281,0.292,79,1.1,-4.6,-9,-0.6
Jared Walsh,LAA,118,454,15,41,44,2,5.90%,30.40%,0.158,0.281,0.215,0.269,0.374,0.278,0.28,78,-0.7,-12.2,-8,-0.6
Jacob Stallings,MIA,114,384,4,25,34,0,7.60%,21.60%,0.069,0.28,0.223,0.292,0.292,0.265,0.274,71,-5.3,-18.2,-0.6,-0.6
